id,code,name,user_type_id/id,chart_template_id/id,reconcile,tag_ids/id
lb_coa_626423,626423,Other travel expenses,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626426,626426,Hotel accomodation,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626430,626430,Personnel Meals Expenses,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626510,626510,Interim Staff Fees,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626530,626530,Professional fees and honorarium,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626531,626531,Legal and tax counsel fees,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_626532,626532,Auditors fees,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_626610,626610,Training fees,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626700,626700,Research & Studies Fees,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_investing
lb_coa_626810,626810,Life insurance,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626910,626910,Health insurance,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626930,626930,Promotional material,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626931,626931,Advertising agencies fees,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626935,626935,Printing fees,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626936,626936,Subscriptions to literature,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626945,626945,Office Supplies,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626950,626950,Electricity,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626951,626951,Fuel and gas,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626955,626955,Parking,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626960,626960,Non capitalized office equipment,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626970,626970,Work and residence permits,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_626971,626971,Formalities,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631110,631110,Salaries,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631120,631120,Salaries - expenses deduction,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631130,631130,Incentives,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631150,631150,Employee transportation,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631160,631160,Schooling allowance,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631170,631170,Taxable benefits,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631180,631180,Overtime,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_631190,631190,Paid leave,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_635110,635110,Social Security - Family,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_635120,635120,Social Security - Medical,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_635130,635130,Social Security - EOS,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_642000,642000,Municipal Taxes,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_645000,645000,Other taxes,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_645010,645010,Stamps,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_645620,645620,VAT on Purchases,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_645630,645630,VAT on Expenses,account.data_account_type_expenses,l10n_lb.l10n_lb_chart_template,No,account.account_tag_operating
lb_coa_651110,651110,Depreciation - Establishment expenses,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651130,651130,"Depreciation - Patents, Licenses, Trade Marks",account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651190,651190,Depreciation - Software,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651210,651210,Depreciation - Lands,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651230,651230,Depreciation - Building & Constructions,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651240,651240,Depreciation - Machinery & Equipment,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651250,651250,Depreciation - Vehicles & Handling Equipment,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651261,651261,Depreciation - Decor & Improvements,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651262,651262,Depreciation - Office Equipment,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
lb_coa_651263,651263,Depreciation - Computers Equipment,account.data_account_type_depreciation,l10n_lb.l10n_lb_chart_template,No,account.account_tag_financing
